epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
145,95852.9,0.95111,0.52617,0.82205,0.90855,0.91241,0.96287,0.68352,0.24281,0.15742,0.20403,0.005248,0.005248,0.005248
146,96498,0.93417,0.5533,0.80668,0.90923,0.91423,0.96234,0.68472,0.24277,0.15713,0.20405,0.005215,0.005215,0.005215
147,97142.4,0.97755,0.56896,0.8603,0.9092,0.91362,0.96231,0.68502,0.24272,0.15699,0.20409,0.005182,0.005182,0.005182
148,97786.4,0.97617,0.54272,0.84567,0.90883,0.90959,0.96239,0.68434,0.24308,0.1568,0.20408,0.005149,0.005149,0.005149
149,98430.6,0.91835,0.50745,0.81371,0.90883,0.90959,0.96237,0.68484,0.24313,0.15681,0.20414,0.005116,0.005116,0.005116
150,99074.5,0.90509,0.54073,0.82637,0.90838,0.91058,0.96238,0.68448,0.2434,0.15657,0.20415,0.005083,0.005083,0.005083
151,99717.4,0.91972,0.52605,0.81897,0.90838,0.91058,0.96239,0.68366,0.24338,0.15625,0.20414,0.00505,0.00505,0.00505
152,100361,0.91902,0.51515,0.8162,0.90838,0.90876,0.96243,0.6847,0.24368,0.15593,0.2042,0.005017,0.005017,0.005017
153,101004,0.97213,0.56732,0.81653,0.90709,0.9086,0.96238,0.68415,0.24385,0.15589,0.20432,0.004984,0.004984,0.004984
154,101648,0.92729,0.54094,0.80438,0.90553,0.90957,0.96261,0.68524,0.24392,0.15591,0.2043,0.004951,0.004951,0.004951
155,102291,0.93321,0.5328,0.81427,0.90533,0.90743,0.9629,0.68476,0.24398,0.1559,0.2043,0.004918,0.004918,0.004918
156,102935,0.9135,0.54163,0.8124,0.90621,0.91058,0.96279,0.68453,0.24404,0.15557,0.20435,0.004885,0.004885,0.004885
157,103579,0.95048,0.53312,0.83852,0.91041,0.90867,0.96284,0.68391,0.24388,0.15535,0.20437,0.004852,0.004852,0.004852
158,104223,0.91225,0.52704,0.8342,0.90714,0.90876,0.96308,0.68387,0.24401,0.15519,0.2044,0.004819,0.004819,0.004819
159,104866,0.94759,0.53766,0.83597,0.90884,0.90963,0.96304,0.68409,0.2439,0.15484,0.2043,0.004786,0.004786,0.004786
160,105509,0.89663,0.52492,0.79013,0.90873,0.90842,0.96297,0.68299,0.24394,0.15477,0.20436,0.004753,0.004753,0.004753
161,106152,0.90767,0.52093,0.82989,0.91039,0.90837,0.96287,0.68401,0.24404,0.1547,0.20438,0.00472,0.00472,0.00472
162,106794,0.93172,0.53202,0.82229,0.90849,0.90578,0.96278,0.6845,0.24383,0.15464,0.2044,0.004687,0.004687,0.004687
163,107437,0.93178,0.52296,0.82972,0.90832,0.90393,0.96303,0.68422,0.24398,0.15445,0.20442,0.004654,0.004654,0.004654
164,108080,0.92194,0.51852,0.80816,0.90857,0.9067,0.963,0.68498,0.24393,0.15412,0.20441,0.004621,0.004621,0.004621
165,108722,0.93797,0.53791,0.83593,0.90852,0.90617,0.96294,0.68583,0.2439,0.1541,0.20446,0.004588,0.004588,0.004588
166,109365,0.91457,0.53814,0.83429,0.90848,0.90574,0.96295,0.68431,0.24396,0.15393,0.20443,0.004555,0.004555,0.004555
167,110007,0.9214,0.53286,0.81817,0.90831,0.90387,0.96301,0.68444,0.24374,0.15383,0.20444,0.004522,0.004522,0.004522
168,110649,0.93183,0.53406,0.8276,0.90829,0.90364,0.96294,0.68524,0.24376,0.15377,0.20453,0.004489,0.004489,0.004489
169,111293,0.91661,0.53829,0.83949,0.90973,0.90115,0.96271,0.68609,0.24325,0.1537,0.20449,0.004456,0.004456,0.004456
170,111936,0.87863,0.49564,0.80278,0.90979,0.90176,0.9626,0.68483,0.24319,0.15362,0.20457,0.004423,0.004423,0.004423
171,112578,0.90858,0.50865,0.8125,0.9097,0.90075,0.9625,0.68536,0.24323,0.15365,0.20453,0.00439,0.00439,0.00439
172,113221,0.89205,0.52474,0.81894,0.90998,0.89781,0.96252,0.68498,0.24319,0.15357,0.20462,0.004357,0.004357,0.004357
173,113863,0.87071,0.5046,0.80196,0.91309,0.89781,0.96252,0.68594,0.24311,0.15329,0.20466,0.004324,0.004324,0.004324
174,114506,0.89716,0.52347,0.82331,0.91119,0.89864,0.96272,0.68489,0.24308,0.15308,0.20466,0.004291,0.004291,0.004291
175,115148,0.90065,0.50968,0.80921,0.92118,0.89572,0.96261,0.68499,0.24315,0.15321,0.20478,0.004258,0.004258,0.004258
176,115922,0.88993,0.49145,0.81616,0.92092,0.89599,0.96274,0.6849,0.24311,0.15297,0.20478,0.004225,0.004225,0.004225
177,117271,0.87865,0.48693,0.80411,0.9195,0.89628,0.96268,0.68662,0.24313,0.15281,0.20487,0.004192,0.004192,0.004192
178,118620,0.95539,0.54964,0.84338,0.91208,0.89781,0.96288,0.68671,0.24313,0.15275,0.20486,0.004159,0.004159,0.004159
179,119967,0.93649,0.52164,0.80872,0.91385,0.89599,0.96222,0.68566,0.24303,0.15267,0.20492,0.004126,0.004126,0.004126
180,121315,0.87613,0.49991,0.80859,0.91441,0.8968,0.96226,0.68633,0.24279,0.15241,0.20491,0.004093,0.004093,0.004093
181,122657,0.8795,0.50664,0.80437,0.91457,0.89599,0.96231,0.68643,0.24317,0.15249,0.20496,0.00406,0.00406,0.00406
182,124008,0.89937,0.51952,0.7991,0.91453,0.89599,0.96236,0.68644,0.24361,0.15255,0.20492,0.004027,0.004027,0.004027
183,125357,0.8695,0.50627,0.79465,0.91288,0.89869,0.96241,0.68623,0.2433,0.15219,0.20451,0.003994,0.003994,0.003994
184,126708,0.94393,0.52632,0.83088,0.91288,0.8987,0.96222,0.68615,0.24318,0.15182,0.20454,0.003961,0.003961,0.003961
185,128056,0.86691,0.49933,0.78523,0.91321,0.9024,0.96226,0.68605,0.24332,0.15172,0.20454,0.003928,0.003928,0.003928
186,129411,0.86016,0.49487,0.8018,0.91295,0.89946,0.96221,0.68529,0.24296,0.1515,0.20457,0.003895,0.003895,0.003895
187,130755,0.88404,0.51559,0.79686,0.9132,0.90235,0.96223,0.68603,0.24314,0.15117,0.20468,0.003862,0.003862,0.003862
